Input magnitude(Gauss), Input wait time(seconds), Input change in angles(degrees), Iterations ran, Calculated total run time(seconds), Measured total run time(seconds), Average measured magnitude(gauss)
2.0, 0.1, 1, 91, 9.1, 13.032518863677979, 2.0
2.0, 0.1, 1, 91, 9.1, 25.086112022399902, 2.0
2.0, 0.1, 1, 91, 9.1, 12.975908041000366, 2.0
2.0, 0.1, 1, 91, 9.1, 25.017725229263306, 2.0
2.0, 0.1, 1, 91, 9.1, 48.835927963256836, 2.0
1.0, 0.1, 1, 91, 9.1, 12.74859094619751, 1.0
1.0, 0.1, 1, 91, 9.1, 26.259066820144653, 1.0
2.0, 0.1, 1, 91, 9.1, 12.956843137741089, 2.0
2.0, 0.1, 1, 91, 9.1, 12.998387098312378, 2.0
2.0, 0.1, 1, 91, 9.1, 12.949466705322266, 2.0
1.0, 0.1, 1, 91, 9.1, 13.034290075302124, 1.0
